date,team,exp_points,exp_gd,p_champion,p_top4,p_top6,p_relegation,median_position,source
2026-08-31,Barcelona,79.2,43.6,0.5666,0.9915,0.9986,0.0,1,market_implied
2026-08-31,Real Madrid,76.7,37.8,0.3905,0.9793,0.9952,0.0,2,market_implied
2026-08-31,Atlético Madrid,63.4,16.4,0.0247,0.615,0.8256,0.0013,4,market_implied
2026-08-31,Real Betis,59.7,7.4,0.0074,0.4102,0.6708,0.0059,5,market_implied
2026-08-31,Villarreal,59.1,12.4,0.0075,0.376,0.637,0.0069,5,market_implied
2026-08-31,Alavés,52.9,0.6,0.0004,0.1265,0.31,0.0467,9,market_implied
2026-08-31,Sevilla,51.7,-2.6,0.0009,0.1004,0.2631,0.0633,9,market_implied
2026-08-31,Rayo Vallecano,50.3,-1.1,0.0005,0.0793,0.2154,0.0956,10,market_implied
2026-08-31,Getafe,49.6,-6.3,0.0001,0.0631,0.1822,0.1114,11,market_implied
2026-08-31,Osasuna,48.8,-6.0,0.0007,0.0497,0.1532,0.1235,11,market_implied
2026-08-31,Valencia,48.6,-3.9,0.0004,0.0486,0.1493,0.1301,12,market_implied
2026-08-31,Levante,47.5,-7.0,0.0001,0.0342,0.1152,0.1609,13,market_implied
2026-08-31,Celta Vigo,46.9,-6.2,0.0,0.0299,0.1024,0.1788,13,market_implied
2026-08-31,Real Sociedad,46.1,-10.2,0.0001,0.0222,0.0867,0.2134,14,market_implied
2026-08-31,Espanyol,45.7,-7.1,0.0,0.0233,0.0804,0.2213,14,market_implied
2026-08-31,Racing Santander,44.2,-11.8,0.0,0.0136,0.0497,0.2914,15,market_implied
2026-08-31,Deportivo,44.1,-11.7,0.0001,0.01,0.0498,0.2969,15,market_implied
2026-08-31,Athletic Club,43.4,-13.4,0.0,0.0096,0.04,0.335,16,market_implied
2026-08-31,Elche,43.2,-14.9,0.0,0.0101,0.0416,0.3353,16,market_implied
2026-08-31,Málaga,42.4,-15.9,0.0,0.0075,0.0338,0.3823,16,market_implied
