team,exp_points,exp_gd,p_champion,p_top4,p_top6,p_relegation,median_position
Barcelona,75.5,35.5,0.5836,0.9637,0.9925,0.0,1
Real Madrid,71.1,28.4,0.3007,0.8935,0.9628,0.0,2
Villarreal,61.1,13.3,0.045,0.4879,0.6937,0.0056,5
Real Betis,59.1,10.2,0.0262,0.3831,0.6043,0.0106,5
Atlético Madrid,58.5,9.4,0.0188,0.3594,0.5763,0.0118,6
Rayo Vallecano,54.5,3.5,0.0081,0.1894,0.3736,0.0439,8
Valencia,54.2,2.9,0.0063,0.1754,0.3576,0.0448,8
Celta Vigo,52.9,1.1,0.0033,0.1349,0.2991,0.0582,9
Getafe,50.4,-2.6,0.0012,0.0826,0.1992,0.1038,11
Levante,49.4,-4.1,0.0014,0.0633,0.1647,0.1302,12
Real Sociedad,48.1,-6.1,0.0011,0.046,0.1236,0.1691,13
Alavés,47.0,-7.9,0.0006,0.0387,0.1024,0.2076,13
Elche,46.9,-7.8,0.001,0.035,0.1003,0.2109,13
Athletic Club,46.4,-8.6,0.0005,0.0283,0.0863,0.2292,14
Málaga,45.7,-9.7,0.0005,0.0261,0.0762,0.2568,14
Racing Santander,45.2,-10.5,0.0006,0.0231,0.0669,0.2689,15
Espanyol,45.0,-10.9,0.0003,0.022,0.0654,0.2833,15
Sevilla,44.9,-11.0,0.0003,0.0184,0.0597,0.2898,15
Osasuna,44.8,-11.1,0.0003,0.0189,0.0602,0.2887,15
Deportivo,42.9,-13.9,0.0002,0.0103,0.0352,0.3868,16
