team,exp_points,exp_gd,p_champion,p_top4,p_top6,p_relegation,median_position
Barcelona,73.6,32.2,0.5727,0.9537,0.9827,0.0,1
Real Madrid,69.0,25.1,0.2895,0.8589,0.9397,0.0003,2
Villarreal,60.8,12.8,0.0581,0.508,0.7002,0.0083,4
Real Betis,56.3,6.1,0.0189,0.2881,0.4848,0.0326,7
Atlético Madrid,55.8,5.4,0.0156,0.2686,0.4565,0.0347,7
Celta Vigo,54.6,3.7,0.0114,0.2225,0.3969,0.047,8
Rayo Vallecano,53.4,1.8,0.0102,0.1744,0.3369,0.0644,9
Valencia,51.5,-1.0,0.0051,0.1251,0.2551,0.1008,10
Real Sociedad,50.2,-2.8,0.0034,0.0933,0.2015,0.1247,11
Levante,49.3,-4.2,0.0026,0.0756,0.1758,0.1561,12
Espanyol,49.1,-4.5,0.0023,0.0727,0.1652,0.1596,12
Alavés,48.3,-5.7,0.0025,0.0608,0.1405,0.1856,13
Osasuna,48.0,-6.2,0.0019,0.0533,0.1296,0.196,13
Athletic Club,47.7,-6.5,0.0007,0.0524,0.1269,0.204,13
Getafe,46.6,-8.2,0.0011,0.0396,0.0998,0.2532,14
Deportivo,46.0,-9.1,0.0013,0.0335,0.0876,0.2767,14
Racing Santander,45.9,-9.4,0.0007,0.0332,0.0875,0.2785,15
Málaga,45.8,-9.5,0.0008,0.0327,0.0861,0.2855,15
Elche,45.7,-9.6,0.0008,0.0299,0.0787,0.2847,15
Sevilla,45.1,-10.5,0.0004,0.0237,0.068,0.3073,15
